class,model,method,file_path,module
ProjectTaskType,project.task.type,unlink,C:\Cursor\Odoo\csl_addons\csl_rma\models\project_repair_task_type.py,csl_rma
Project,project.project,get_alias_values,C:\Cursor\Odoo\csl_addons\csl_rma\models\project_repair_task_type.py,csl_rma
Project,project.project,unlink,C:\Cursor\Odoo\csl_addons\csl_rma\models\project_repair_task_type.py,csl_rma
ResConfigSettings,res.config.settings,set_values,C:\Cursor\Odoo\csl_addons\csl_rma\models\res_config_settings.py,csl_rma
ResConfigSettings,res.config.settings,get_values,C:\Cursor\Odoo\csl_addons\csl_rma\models\res_config_settings.py,csl_rma
MailActivity,mail.activity,_action_done,C:\Cursor\Odoo\csl_addons\csl_rma\models\res_partner.py,csl_rma
SaleOrderLine,sale.order.line,default_get,C:\Cursor\Odoo\csl_addons\csl_rma\models\sale_order.py,csl_rma
SaleOrder,sale.order,action_quotation_send,C:\Cursor\Odoo\csl_addons\csl_rma\models\sale_order.py,csl_rma
SaleOrder,sale.order,message_post,C:\Cursor\Odoo\csl_addons\csl_rma\models\sale_order.py,csl_rma
SaleOrder,sale.order,action_confirm,C:\Cursor\Odoo\csl_addons\csl_rma\models\sale_order.py,csl_rma
SaleOrder,sale.order,write,C:\Cursor\Odoo\csl_addons\csl_rma\models\sale_order.py,csl_rma
SaleReport,sale.report,_query,C:\Cursor\Odoo\csl_addons\csl_rma\models\sale_report.py,csl_rma
StockPicking,stock.picking,button_validate,C:\Cursor\Odoo\csl_addons\csl_rma\models\stock_picking.py,csl_rma
StockPicking,stock.picking,_action_done,C:\Cursor\Odoo\csl_addons\csl_rma\models\stock_picking.py,csl_rma
StockPicking,stock.picking,action_assign,C:\Cursor\Odoo\csl_addons\csl_rma\models\stock_picking.py,csl_rma
StockMove,stock.move,action_show_details,C:\Cursor\Odoo\csl_addons\csl_rma\models\stock_picking.py,csl_rma
StockMove,stock.move,action_assign_serial,C:\Cursor\Odoo\csl_addons\csl_rma\models\stock_picking.py,csl_rma
StockMove,stock.move,_prepare_merge_moves_distinct_fields,C:\Cursor\Odoo\csl_addons\csl_rma\models\stock_picking.py,csl_rma
StockMove,stock.move,_action_assign,C:\Cursor\Odoo\csl_addons\csl_rma\models\stock_picking.py,csl_rma
StockQuant,stock.quant,_gather,C:\Cursor\Odoo\csl_addons\csl_rma\models\stock_picking.py,csl_rma
